run_id,batch_number,field_chunk,num_contracts_in_batch,contract_ids,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
,1,all_fields,2,MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT__Document Name_0|SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules__Document Name_0,58.381592750549316,1.1218862533569336,19892,0,1958,19892,0,3084,3084,0.0,0.0,0.1074045,0.0611445,0.04626
,2,all_fields,2,NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement__Document Name_0|KINGPHARMACEUTICALSINC_08_09_2006-EX-10.1-PROMOTION AGREEMENT__Document Name_0,85.45618796348572,1.7592401504516602,44924,0,1958,44924,0,4683,4683,0.0,0.0,0.2064855,0.1362405,0.070245
,3,all_fields,2,KALLOINC_11_03_2011-EX-10.1-STRATEGIC ALLIANCE AGREEMENT__Document Name_0|BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment__Document Name_0,78.47815704345703,2.792151689529419,21469,0,1958,21469,0,3922,3922,0.0,0.0,0.1247055,0.0658755,0.05883
,4,all_fields,2,"ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement__Document Name_0|GWG HOLDINGS, INC. - ORDERLY MARKETING AGREEMENT__Document Name_0",85.189293384552,1.5738682746887207,45230,0,1955,45230,0,4777,4777,0.0,0.0,0.20881125,0.13715625,0.071655
,5,all_fields,2,DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement__Document Name_0|NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement__Document Name_0,80.73546242713928,1.300318956375122,28512,0,1957,28512,0,4765,4765,0.0,0.0,0.15847875,0.08700375,0.071475
,6,all_fields,2,"OAKTREECAPITALGROUP,LLC_03_02_2020-EX-10.8-Services Agreement__Document Name_0|VERSOTECHNOLOGIESINC_12_28_2007-EX-99.3-INTELLECTUAL PROPERTY AGREEMENT__Document Name_0",33.95802044868469,1.1152417659759521,8200,0,1959,8200,0,1996,1996,0.0,0.0,0.05600925,0.02606925,0.02994
1,7,all_fields,2,AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1__Document Name_0|RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement__Document Name_0,105.91648721694946,3.285802125930786,75759,0,1961,75759,0,5576,5576,0.0,0.0,0.31238775,0.22874775,0.08364
,8,all_fields,2,"BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement__Document Name_0|BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT__Document Name_0",61.64442563056946,1.5249927043914795,37868,0,1962,37868,0,3274,3274,0.0,0.0,0.1641855,0.1150755,0.04911
,9,all_fields,2,LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement__Document Name_0|MOELIS_CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,72.29811787605286,1.3395981788635254,32421,0,1962,32421,0,3867,3867,0.0,0.0,0.1567395,0.0987345,0.058005
,10,all_fields,2,"IOVANCEBIOTHERAPEUTICS,INC_08_03_2017-EX-10.1-STRATEGIC ALLIANCE AGREEMENT__Document Name_0|StaarSurgicalCompany_20180801_10-Q_EX-10.37_11289449_EX-10.37_Distributor Agreement__Document Name_0",75.07825255393982,1.3824994564056396,28266,0,1957,28266,0,3933,3933,0.0,0.0,0.14526075,0.08626575,0.058995
,11,all_fields,2,PFSFUNDS_06_26_2020-EX-99.H OTH MAT CONT-SERVICES AGREEMENT__Document Name_0|WELLSFARGOMORTGAGEBACKEDSECURITIES2006-6TRUST_05_11_2006-EX-10.3-Yield Maintenance Agreement__Document Name_0,38.11826133728027,1.1104114055633545,13774,0,1960,13774,0,2020,2020,0.0,0.0,0.073092,0.042792,0.0303
,12,all_fields,2,TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement__Document Name_0|NUVEEN - REMARKETING AGREEMENT__Document Name_0,66.59530878067017,1.2362771034240723,26855,0,1954,26855,0,3679,3679,0.0,0.0,0.1372155,0.0820305,0.055185
,13,all_fields,2,ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT__Document Name_0|PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement__Document Name_0,59.38626313209534,1.3793139457702637,21957,0,1963,21957,0,3079,3079,0.0,0.0,0.11352825,0.06734325,0.046185
,14,all_fields,2,ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement__Document Name_0|BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1)__Document Name_0,78.56964707374573,1.1512396335601807,22760,0,1956,22760,0,4207,4207,0.0,0.0,0.132852,0.069747,0.063105
,15,all_fields,2,RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement__Document Name_0|MANAKOASERVICESCORP_11_21_2007-EX-7.5-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,48.10341191291809,1.681199312210083,29430,0,1958,29430,0,2684,2684,0.0,0.0,0.1300185,0.0897585,0.04026
,16,all_fields,2,SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement3__Document Name_0|SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement__Document Name_0,54.51442503929138,1.1150784492492676,19476,0,1957,19476,0,2781,2781,0.0,0.0,0.10161075,0.05989575,0.041715
,17,all_fields,2,WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement__Document Name_0|FLOTEKINDUSTRIESINCCN_05_09_2019-EX-10.1-SUPPLY AGREEMENT__Document Name_0,41.546833515167236,0.9608981609344482,10082,0,1954,10082,0,2354,2354,0.0,0.0,0.0670215,0.0317115,0.03531
,18,all_fields,2,WARNERCHILCOTTPLC_12_31_2003-EX-4.36-DEVELOPMENT AGREEMENT__Document Name_0|EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement__Document Name_0,55.68879771232605,1.5584547519683838,12658,0,1957,12658,0,2924,2924,0.0,0.0,0.08330175,0.03944175,0.04386
,19,all_fields,2,"VAXCYTE,INC_05_22_2020-EX-10.19-SUPPLY AGREEMENT__Document Name_0|ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement__Document Name_0",64.77300786972046,1.1578953266143799,28262,0,1960,28262,0,3338,3338,0.0,0.0,0.136326,0.086256,0.05007
,20,all_fields,2,"HOSPITALITYINVESTORSTRUST,INC_04_07_2014-EX-10.26-FRANCHISE AGREEMENT__Document Name_0|EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement__Document Name_0",88.13438057899475,1.7145779132843018,41123,0,1960,41123,0,4110,4110,0.0,0.0,0.186489,0.124839,0.06165
,21,all_fields,2,InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement__Document Name_0|VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT__Document Name_0,104.28679013252258,1.6300663948059082,31243,0,1963,31243,0,5472,5472,0.0,0.0,0.17728125,0.09520125,0.08208
,22,all_fields,2,Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT__Document Name_0|VgrabCommunicationsInc_20200129_10-K_EX-10.33_11958828_EX-10.33_Development Agreement__Document Name_0,27.66281247138977,1.373244285583496,8460,0,1959,8460,0,1698,1698,0.0,0.0,0.05231925,0.02684925,0.02547
,23,all_fields,2,"REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT__Document Name_0|KUBIENT,INC_07_02_2020-EX-10.14-MASTER SERVICES AGREEMENT_Part2__Document Name_0",30.33004903793335,1.1464381217956543,7420,0,1959,7420,0,1785,1785,0.0,0.0,0.05050425,0.02372925,0.026775
,24,all_fields,2,DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT__Document Name_0|WOMENSGOLFUNLIMITEDINC_03_29_2000-EX-10.13-ENDORSEMENT AGREEMENT - Intellectual Property Rights                 Confidentiality and Non-Use Obligations Agreement__Document Name_0,26.988851070404053,1.138606071472168,5320,0,1959,5320,0,1712,1712,0.0,0.0,0.04310925,0.01742925,0.02568
1,25,all_fields,2,LECLANCHÉ S.A. - JOINT DEVELOPMENT AND MARKETING AGREEMENT__Document Name_0|WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT__Document Name_0,53.9324049949646,2.8317859172821045,20941,0,1958,20941,0,2733,2733,0.0,0.0,0.1052865,0.0642915,0.040995
,26,all_fields,2,GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement__Document Name_0|BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement__Document Name_0,73.75385570526123,1.568084478378296,33514,0,1958,33514,0,3783,3783,0.0,0.0,0.1587555,0.1020105,0.056745
,27,all_fields,2,MOSSIMOINC_04_14_2000-EX-10.14-ENDORSEMENT AGREEMENT__Document Name_0|ULTRAGENYXPHARMACEUTICALINC_12_23_2013-EX-10.9-SUPPLY AGREEMENT__Document Name_0,45.50358271598816,1.4595258235931396,10780,0,1958,10780,0,2521,2521,0.0,0.0,0.0716235,0.0338085,0.037815
,28,all_fields,2,RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement__Document Name_0|WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT__Document Name_0,77.50381731987,2.2560200691223145,20387,0,1961,20387,0,4219,4219,0.0,0.0,0.12591675,0.06263175,0.063285
,29,all_fields,2,CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement__Document Name_0|ZONDWINDSYSTEMPARTNERSLTDSERIES85-B_04_03_2006-EX-10-MANAGEMENT AND MAINTENANCE AGREEMENT__Document Name_0,29.213934898376465,1.4869709014892578,11978,0,1959,11978,0,1700,1700,0.0,0.0,0.06290325,0.03740325,0.0255
,30,all_fields,2,BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1__Document Name_0|NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT__Document Name_0,47.81014680862427,1.1886582374572754,11661,0,1956,11661,0,2556,2556,0.0,0.0,0.07479,0.03645,0.03834
,31,all_fields,2,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Document Name_0|SFGFINANCIALCORP_05_12_2009-EX-10.1-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT__Document Name_0,80.90912318229675,1.540339708328247,25236,0,1960,25236,0,4024,4024,0.0,0.0,0.137538,0.077178,0.06036
,32,all_fields,2,"MERCATAINC_03_09_2000-EX-10.21-SPONSORSHIP AGREEMENT__Document Name_0|CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT__Document Name_0",62.255107164382935,1.1755707263946533,20388,0,1960,20388,0,3362,3362,0.0,0.0,0.113064,0.062634,0.05043
,33,all_fields,2,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement4__Document Name_0|OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT2__Document Name_0,18.026373147964478,1.1910192966461182,3598,0,1961,3598,0,1258,1258,0.0,0.0,0.03113475,0.01226475,0.01887
,34,all_fields,2,"MARSHALLHOLDINGSINTERNATIONAL,INC_04_14_2004-EX-10.15-ENDORSEMENT AGREEMENT__Document Name_0|FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement__Document Name_0",53.67522835731506,3.7958900928497314,12497,0,1960,12497,0,2864,2864,0.0,0.0,0.081921,0.038961,0.04296
,35,all_fields,2,BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT__Document Name_0|DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT__Document Name_0,37.82796335220337,1.3674542903900146,15800,0,1960,15800,0,2337,2337,0.0,0.0,0.083925,0.04887,0.035055
,36,all_fields,2,"MIDDLEBROOKPHARMACEUTICALS,INC_03_18_2010-EX-10.1-PROMOTION AGREEMENT__Document Name_0|WORLDWIDESTRATEGIESINC_11_02_2005-EX-10-RESELLER AGREEMENT__Document Name_0",76.55825710296631,1.7189557552337646,33333,0,1959,33333,0,4023,4023,0.0,0.0,0.16181325,0.10146825,0.060345
,37,all_fields,2,"SOLUTIONSVENDINGINTERNATIONAL,INC_03_31_2020-EX1A-1 UNDR AGMT-SERVICES AGREEMENT__Document Name_0|VnueInc_20150914_8-K_EX-10.1_9259571_EX-10.1_Promotion Agreement__Document Name_0",23.412943601608276,1.0985968112945557,6202,0,1958,6202,0,1593,1593,0.0,0.0,0.0439695,0.0200745,0.023895
,38,all_fields,2,ELECTRAMECCANICA VEHICLES CORP. - Manufacturing Agreement__Document Name_0|LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement1__Document Name_0,66.09854078292847,1.211261510848999,23018,0,1959,23018,0,3828,3828,0.0,0.0,0.12794325,0.07052325,0.05742
,39,all_fields,2,GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT__Document Name_0|MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT__Document Name_0,98.8403868675232,3.754828929901123,48266,0,1959,48266,0,4909,4909,0.0,0.0,0.21990225,0.14626725,0.073635
,40,all_fields,2,VIOLINMEMORYINC_12_12_2012-EX-10.14-SPONSORSHIP AGREEMENT__Document Name_0|ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement__Document Name_0,50.621548652648926,1.9409716129302979,17501,0,1959,17501,0,2856,2856,0.0,0.0,0.09681225,0.05397225,0.04284
,41,all_fields,2,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_AMENDMENT__Document Name_0|LEJUHOLDINGSLTD_03_12_2014-EX-10.34-INTERNET CHANNEL COOPERATION AGREEMENT__Document Name_0,37.11061692237854,1.1244375705718994,11093,0,1959,11093,0,2385,2385,0.0,0.0,0.07052325,0.03474825,0.035775
,42,all_fields,2,"OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT__Document Name_0|XLITECHNOLOGIES,INC_12_02_2015-EX-10.02-STRATEGIC ALLIANCE AGREEMENT__Document Name_0",71.04292678833008,1.7943089008331299,38347,0,1966,38347,0,3618,3618,0.0,0.0,0.1707855,0.1165155,0.05427
,43,all_fields,2,TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement__Document Name_0|EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement__Document Name_0,57.98714303970337,1.3135395050048828,17336,0,1960,17336,0,3103,3103,0.0,0.0,0.100023,0.053478,0.046545
,44,all_fields,2,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2__Document Name_0|XYBERNAUTCORP_07_12_2002-EX-4-SPONSORSHIP AGREEMENT__Document Name_0,35.111403942108154,1.2105622291564941,14475,0,1956,14475,0,2030,2030,0.0,0.0,0.075342,0.044892,0.03045
,45,all_fields,2,DRKOOPCOMINC_04_21_1999-EX-10.28-SPONSORSHIP AGREEMENT__Document Name_0|ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement__Document Name_0,62.37081575393677,3.092067241668701,16819,0,1960,16819,0,3404,3404,0.0,0.0,0.102987,0.051927,0.05106
,46,all_fields,2,FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement__Document Name_0|SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement__Document Name_0,72.28049945831299,1.1630744934082031,18859,0,1960,18859,0,3396,3396,0.0,0.0,0.108987,0.058047,0.05094
,47,all_fields,2,"THERAVANCEBIOPHARMA,INC_05_08_2020-EX-10.2-SERVICE AGREEMENT__Document Name_0|DYNTEKINC_07_30_1999-EX-10-ONLINE HOSTING AGREEMENT__Document Name_0",65.43993949890137,1.1435871124267578,14803,0,1958,14803,0,3259,3259,0.0,0.0,0.0947625,0.0458775,0.048885
,48,all_fields,2,VITAMINSHOPPECOMINC_09_13_1999-EX-10.26-SPONSORSHIP AGREEMENT__Document Name_0|StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement__Document Name_0,89.42042136192322,3.1812896728515625,35706,0,1959,35706,0,4308,4308,0.0,0.0,0.17320725,0.10858725,0.06462
,49,all_fields,2,IVILLAGEINC_03_17_1999-EX-10.16-SPONSORSHIP AGREEMENT__Document Name_0|PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1__Document Name_0,90.6323573589325,2.038007974624634,41425,0,1959,41425,0,4323,4323,0.0,0.0,0.19058925,0.12574425,0.064845
,50,all_fields,2,AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT__Document Name_0|GOCALLINC_03_30_2000-EX-10.7-Promotion Agreement__Document Name_0,69.23870658874512,1.248807430267334,16599,0,1962,16599,0,3625,3625,0.0,0.0,0.1056435,0.0512685,0.054375
